Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
11,Djavan Anderson\Djavan-Anderson,nl NED,DF,Lazio,25,1995,0.8,0,0,0,0,0,0,1,0,1,10,1,10,1,7,2,2,0,0,2,0,0,0,0
12,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,32,1988,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
13,Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,it ITA,DF,Atalanta,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
14,Philip Ankhrah\Philip-Ankhrah,gh GHA,MF,Hellas Verona,17,2002,0.1,0,0,0,0,0,0,0,,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0
15,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DF,Torino,33,1986,21.6,48,26,24,16,8,26,41,63.4,15,262,81,30.9,115,84,63,32,7,0,25,27,75,27,1
16,Valentin Antov\Valentin-Antov,bg BUL,DF,Bologna,19,2000,2.6,6,3,5,1,0,3,10,30,7,35,8,22.9,20,14,1,11,5,0,6,5,11,11,0
17,Nicolò Armini\Nicolo-Armini,it ITA,DF,Lazio,19,2001,0.1,0,0,0,0,0,0,0,,0,3,0,0,1,2,0,0,0,0,0,0,0,1,0
18,Tolgay Arslan\Tolgay-Arslan,de GER,MF,Udinese,29,1990,20.2,60,39,30,25,5,20,52,38.5,32,354,125,35.3,155,161,38,30,2,0,28,21,81,9,1
19,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DFMF,Cagliari,31,1988,2.5,5,4,2,3,0,1,1,100,0,17,4,23.5,6,6,5,4,1,0,3,5,10,4,1
20,Kristoffer Askildsen\Kristoffer-Askildsen,no NOR,MF,Sampdoria,19,2001,1.1,2,2,0,1,1,1,1,100,0,30,5,16.7,12,15,3,3,0,0,3,1,3,2,0
